float,row_key,quantity,value_paper,digits
supplementary_table_1,Race | Latinx | Full adjustment set,t,-0.655,3
supplementary_table_1,Race | Latinx | PAP adjustment set,ci_lower,-0.009,3
supplementary_table_1,Race | Latinx | PAP adjustment set,ci_upper,0.004,3
supplementary_table_1,Race | Latinx | PAP adjustment set,df,179031,0
supplementary_table_1,Race | Latinx | PAP adjustment set,estimate,-0.002,3
supplementary_table_1,Race | Latinx | PAP adjustment set,p_value,0.493,3
supplementary_table_1,Race | Latinx | PAP adjustment set,se,0.003,3
supplementary_table_1,Race | Latinx | PAP adjustment set,t,-0.685,3
supplementary_table_1,Race | Latinx | Unadjusted,ci_lower,-0.010,3
supplementary_table_1,Race | Latinx | Unadjusted,ci_upper,0.004,3
supplementary_table_1,Race | Latinx | Unadjusted,df,179034,0
supplementary_table_1,Race | Latinx | Unadjusted,estimate,-0.003,3
supplementary_table_1,Race | Latinx | Unadjusted,p_value,0.413,3
supplementary_table_1,Race | Latinx | Unadjusted,se,0.004,3
supplementary_table_1,Race | Latinx | Unadjusted,t,-0.818,3
supplementary_table_1,Race | Other | Full adjustment set,ci_lower,-0.023,3
supplementary_table_1,Race | Other | Full adjustment set,ci_upper,0.010,3
supplementary_table_1,Race | Other | Full adjustment set,df,55549,0
supplementary_table_1,Race | Other | Full adjustment set,estimate,-0.007,3
supplementary_table_1,Race | Other | Full adjustment set,p_value,0.426,3
supplementary_table_1,Race | Other | Full adjustment set,se,0.008,3
supplementary_table_1,Race | Other | Full adjustment set,t,-0.797,3
supplementary_table_1,Race | Other | PAP adjustment set,ci_lower,-0.023,3
supplementary_table_1,Race | Other | PAP adjustment set,ci_upper,0.009,3
supplementary_table_1,Race | Other | PAP adjustment set,df,55566,0
supplementary_table_1,Race | Other | PAP adjustment set,estimate,-0.007,3
supplementary_table_1,Race | Other | PAP adjustment set,p_value,0.411,3
supplementary_table_1,Race | Other | PAP adjustment set,se,0.008,3
supplementary_table_1,Race | Other | PAP adjustment set,t,-0.821,3
supplementary_table_1,Race | Other | Unadjusted,ci_lower,-0.021,3
supplementary_table_1,Race | Other | Unadjusted,ci_upper,0.014,3
